189,262	4,9
189,721	4,9
190,18	4,9
190,639	4,9
191,098	-56,37
191,557	-19,61
192,016	41,67
192,474	-26,96
192,933	0
193,392	73,53
193,851	120,1
194,309	-17,16
194,768	39,22
195,227	-71,08
195,685	9,8
196,144	-19,61
196,602	9,8
197,061	-41,67
197,519	-58,82
197,977	-2,45
198,436	-36,77
198,894	-56,37
199,352	-93,14
199,81	56,37
200,268	-66,18
200,726	-4,9
201,184	-39,22
201,642	24,51
202,1	-61,28
202,558	-14,71
203,016	44,12
203,474	-41,67
203,932	14,71
204,39	17,16
204,847	9,8
205,305	-14,71
205,763	71,08
206,22	4,9
206,678	-17,16
207,135	-80,88
207,593	-181,37
208,05	31,86
208,507	44,12
208,965	-61,28
209,422	7,35
209,879	29,41
210,336	4,9
210,794	-34,31
211,251	-36,77
211,708	22,06
212,165	2,45
212,622	98,04
213,079	4,9
213,536	4,9
213,993	-53,92
214,449	-51,47
214,906	-12,26
215,363	-44,12
215,82	102,94
216,276	19,61
216,733	17,16
217,189	-34,31
217,646	44,12
218,102	-29,41
218,559	-36,77
219,015	66,18
219,472	88,24
219,928	-78,43
220,384	-71,08
220,84	12,26
221,297	-31,86
221,753	12,26
222,209	36,77
222,665	-90,69
223,121	-56,37
223,577	-115,2
224,033	39,22
224,489	-22,06
224,944	-31,86
225,4	-34,31
225,856	-7,35
226,312	-31,86
226,767	120,1
227,223	44,12
227,679	-58,82
228,134	-110,3
228,59	-41,67
229,045	7,35
229,5	-44,12
229,956	-56,37
230,411	-4,9
230,866	-51,47
231,322	75,98
231,777	49,02
232,232	-24,51
232,687	-53,92
233,142	53,92
233,597	-4,9
234,052	-36,77
234,507	0
234,962	58,82
235,417	19,61
235,872	44,12
236,326	49,02
236,781	36,77
237,236	12,26
237,691	26,96
238,145	19,61
238,6	-22,06
239,054	-22,06
239,509	-17,16
239,963	9,8
240,417	-2,45
240,872	-56,37
241,326	-14,71
241,78	88,24
242,234	31,86
242,689	-61,28
243,143	-19,61
243,597	73,53
244,051	71,08
244,505	-9,8
244,959	-68,63
245,413	-17,16
245,867	68,63
246,32	-14,71
246,774	105,39
247,228	-51,47
247,682	105,39
248,135	22,06
248,589	53,92
249,042	44,12
249,496	36,77
249,949	129,9
250,403	-68,63
250,856	44,12
251,309	39,22
251,763	31,86
252,216	-53,92
252,669	-17,16
253,122	-24,51
253,575	80,88
254,029	-4,9
254,482	-73,53
254,935	78,43
255,388	-78,43
255,84	-34,31
256,293	29,41
256,746	68,63
257,199	36,77
257,652	-36,77
258,104	-63,73
258,557	120,1
259,009	46,57
259,462	-49,02
259,915	-61,28
260,367	29,41
260,819	-80,88
261,272	-7,35
261,724	41,67
262,176	-14,71
262,629	-17,16
263,081	31,86
263,533	12,26
263,985	17,16
264,437	4,9
264,889	-26,96
265,341	39,22
265,793	14,71
266,245	-83,33
266,697	4,9
267,149	12,26
267,6	75,98
268,052	-49,02
268,504	39,22
268,955	-73,53
269,407	98,04
269,859	68,63
270,31	-61,28
270,762	51,47
271,213	-9,8
271,664	100,49
272,116	-51,47
272,567	132,35
273,018	-19,61
273,469	-7,35
273,92	-49,02
274,372	-36,77
274,823	58,82
275,274	31,86
275,725	14,71
276,175	-22,06
276,626	9,8
277,077	66,18
277,528	129,9
277,979	0
278,429	56,37
278,88	90,69
279,331	-63,73
279,781	-73,53
280,232	71,08
280,682	41,67
281,133	34,31
281,583	83,33
282,033	49,02
282,484	9,8
282,934	61,28
283,384	-68,63
283,834	58,82
284,284	2,45
284,735	-7,35
285,185	-51,47
285,635	36,77
286,084	-2,45
286,534	-17,16
286,984	31,86
287,434	39,22
287,884	-34,31
288,334	19,61
288,783	4,9
289,233	0
289,682	-61,28
290,132	24,51
290,581	110,3
291,031	-4,9
291,48	-12,26
291,93	17,16
292,379	19,61
292,828	-22,06
293,278	44,12
293,727	4,9
294,176	-63,73
294,625	17,16
295,074	12,26
295,523	49,02
295,972	-9,8
296,421	-4,9
296,87	83,33
297,319	80,88
297,767	-2,45
298,216	2,45
298,665	19,61
299,113	-9,8
299,562	-2,45
300,011	-93,14
300,459	17,16
300,908	-51,47
301,356	36,77
301,804	-78,43
302,253	-9,8
302,701	19,61
303,149	-22,06
303,597	9,8
304,046	-110,3
304,494	85,79
304,942	80,88
305,39	-88,24
305,838	-115,2
306,286	-12,26
306,733	-68,63
307,181	17,16
307,629	-95,59
308,077	-12,26
308,525	-41,67
308,972	-120,1
309,42	-49,02
309,867	-19,61
310,315	56,37
310,762	49,02
311,21	46,57
311,657	-105,39
312,104	-36,77
312,552	95,59
312,999	-26,96
313,446	4,9
313,893	66,18
314,34	44,12
314,788	46,57
315,235	41,67
315,682	68,63
316,128	-63,73
316,575	34,31
317,022	29,41
317,469	49,02
317,916	17,16
318,362	-24,51
318,809	9,8
319,256	61,28
319,702	12,26
320,149	24,51
320,595	-4,9
321,042	-66,18
321,488	-53,92
321,934	-46,57
322,381	98,04
322,827	-24,51
323,273	-66,18
323,719	-58,82
324,165	-7,35
324,611	-2,45
325,057	4,9
325,503	39,22
325,949	-17,16
326,395	-2,45
326,841	132,35
327,287	147,06
327,733	-46,57
328,178	-9,8
328,624	63,73
329,07	14,71
329,515	61,28
329,961	19,61
330,406	66,18
330,851	102,94
331,297	102,94
331,742	154,41
332,187	-26,96
332,633	-44,12
333,078	-39,22
333,523	-14,71
333,968	139,71
334,413	-4,9
334,858	-29,41
335,303	85,79
335,748	63,73
336,193	22,06
336,638	29,41
337,083	12,26
337,527	4,9
337,972	9,8
338,417	39,22
338,861	75,98
339,306	-100,49
339,75	29,41
